,year,mileage,max_power,km_distances,binned_engine,co_cc,_num_sales,Diesel,petrol,firstowner,secondowner,others,_company,_seats_in_year
0,2019,20.0,72.0,-1.9353451170848657,4,839.0,19,0.0,1.0,1.0,0.0,0.0,25,8
1,2013,15.96,62.1,0.7422572034653329,1,18988.0,60,1.0,0.0,0.0,0.0,1.0,19,9
2,2012,21.8,78.0,0.9802760283687828,3,839.0,16,1.0,0.0,0.0,0.0,1.0,25,16
3,2016,18.7,88.7,-0.16542015986266764,3,3837.0,61,0.0,1.0,1.0,0.0,0.0,10,55
4,2016,16.2,74.0,0.16723973283313576,3,934.0,15,0.0,1.0,0.0,1.0,0.0,29,15
5,2012,20.54,103.6,0.7760824924626483,2,934.0,22,1.0,0.0,0.0,1.0,0.0,29,22
6,2012,15.010306406685237,115.76303621169914,1.1268503259638523,1,5222.0,45,1.0,0.0,0.0,1.0,0.0,28,1
7,2017,19.87,83.8,-0.5332939744028466,3,839.0,29,1.0,0.0,1.0,0.0,0.0,25,26
8,2014,23.4,74.0,0.7229161457348965,3,37420.0,135,1.0,0.0,0.0,0.0,1.0,20,120
9,2017,23.95,67.05,-0.3443485676437629,4,37420.0,238,0.0,1.0,1.0,0.0,0.0,20,212
10,2013,15.96,62.1,0.8403104977924613,1,18988.0,60,1.0,0.0,1.0,0.0,0.0,19,40
11,2013,14.0,138.1,0.8027619248557887,1,8074.0,47,1.0,0.0,0.0,1.0,0.0,27,8
12,2010,19.81,68.05,0.81739655743804,3,16333.0,51,0.0,1.0,0.0,0.0,1.0,11,50
13,2013,21.79,67.05,0.23834764238879833,4,37420.0,155,0.0,1.0,1.0,0.0,0.0,20,129
14,2012,21.64,84.8,0.9802760283687828,3,200.0,9,1.0,0.0,0.0,0.0,1.0,23,9
15,2013,18.9,81.86,0.23446592924843754,3,16333.0,84,0.0,1.0,1.0,0.0,0.0,11,84
16,2014,15.4,120.0,0.634777610814735,1,18988.0,69,1.0,0.0,1.0,0.0,0.0,19,7
17,2016,12.99,100.6,0.3030978747884284,1,5222.0,50,1.0,0.0,1.0,0.0,0.0,28,7
18,2019,15.1,152.87,-1.4353645757429951,1,18988.0,36,1.0,0.0,1.0,0.0,0.0,19,18
19,2017,18.6,81.83,-0.6060935388716245,3,16333.0,158,0.0,1.0,1.0,0.0,0.0,11,158
20,2016,17.01,121.3,-0.19109732370406982,2,16333.0,114,0.0,1.0,1.0,0.0,0.0,11,114
21,2016,18.2,73.74,0.32553897028057793,3,1409.0,22,1.0,0.0,1.0,0.0,0.0,4,3
22,2019,16.55,105.0,-1.4353645757429951,1,18988.0,36,1.0,0.0,1.0,0.0,0.0,19,4
23,2016,22.95,74.0,-0.0058147542743370575,3,8074.0,27,1.0,0.0,1.0,0.0,0.0,27,23
24,2010,16.8,118.0,0.41170307202186285,3,3837.0,9,0.0,1.0,0.0,1.0,0.0,10,9
25,2019,17.0,138.1,-1.6898169379344035,1,8074.0,21,1.0,0.0,1.0,0.0,0.0,27,18
26,2016,14.3,103.5,-1.7638982571581967,2,684.0,30,0.0,1.0,1.0,0.0,0.0,26,30
27,2015,23.59,67.04,0.7716814483885085,3,5222.0,43,1.0,0.0,1.0,0.0,0.0,28,14
28,2018,18.6,81.83,-0.9589839968572472,3,16333.0,103,0.0,1.0,1.0,0.0,0.0,11,103
29,2008,18.9,67.1,0.6851242325837715,4,37420.0,50,0.0,1.0,0.0,1.0,0.0,20,36
30,2015,25.2,74.0,0.046393956925015245,3,37420.0,173,1.0,0.0,1.0,0.0,0.0,20,149
