,company,seller_type,year,seats,index,name,number_sold,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,km_distances,binned_engine,co_cc,_num_sales,Diesel,petrol,firstowner,secondowner,others,_company,_seats_in_year,avg_sellertype
0,Renault,Individual,2012,5.0,0,Renault Duster 110PS Diesel RxZ,14,-0.11680692919372172,86000,Diesel,1,First Owner,19.01,1461.0,108.45,0.6736336428435622,3,922.0,16,1.0,0.0,1.0,0.0,0.0,25,16,-0.2859515383770954
1,Mercedes-Benz,Dealer,2017,5.0,1,Mercedes-Benz GLA Class 200 CDI SPORT,2,2.4818647880204914,23000,Diesel,0,First Owner,17.9,2143.0,136.0,-1.1693617944641375,1,355.0,8,1.0,0.0,1.0,0.0,0.0,21,8,3.4624038132548263
2,Renault,Individual,2016,5.0,2,Renault KWID RXT Optional,14,-0.4250214817005238,60000,Petrol,1,First Owner,25.17,799.0,53.3,-0.5347900812166533,4,922.0,41,0.0,1.0,1.0,0.0,0.0,25,40,-0.2859515383770954
3,Renault,Individual,2017,5.0,3,Renault KWID Climber 1.0 AMT,1,-0.23767538115717352,40000,Petrol,0,First Owner,24.04,999.0,67.0,-0.466126140146685,4,922.0,33,0.0,1.0,1.0,0.0,0.0,25,28,-0.2859515383770954
4,Maruti,Individual,2009,5.0,4,Maruti Wagon R LX BSIII,5,-0.49754255287859483,70000,Petrol,1,Second Owner,17.3,1061.0,64.0,0.7881764322514496,3,35091.0,80,0.0,1.0,0.0,1.0,0.0,20,70,-0.35797528539639534
5,Maruti,Individual,2018,5.0,5,Maruti Celerio ZXI AMT BSIV,1,-0.21350169076448317,30000,Petrol,0,First Owner,23.1,998.0,67.04,-0.7529080876777112,4,35091.0,221,0.0,1.0,1.0,0.0,0.0,20,208,-0.35797528539639534
6,Jaguar,Dealer,2017,5.0,6,Jaguar XE 2016-2019 2.0L Diesel Prestige,23,2.391213449047903,9000,Diesel,0,First Owner,13.6,1999.0,177.0,-1.183774673730422,1,214.0,52,1.0,0.0,1.0,0.0,0.0,13,52,3.160543383959967
7,Tata,Individual,2015,7.0,7,Tata Safari Storme EX,26,-0.17361510161654406,110000,Diesel,1,First Owner,14.1,2179.0,147.94,0.5836228999578853,1,8081.0,47,1.0,0.0,1.0,0.0,0.0,27,27,-0.4038951134633411
8,Tata,Individual,2008,5.0,8,Tata Indica V2 DiCOR DLG BS-III,1,-0.7211491890109807,120000,Diesel,1,others,17.5,1396.0,70.0,0.7597876057060596,3,8081.0,20,1.0,0.0,0.0,0.0,1.0,27,13,-0.4038951134633411
9,Tata,Individual,2007,5.0,9,Tata Indigo LS,5,-0.6725878710656247,129000,Diesel,1,others,17.0,1405.0,70.0,0.8782871168319617,3,8081.0,24,1.0,0.0,0.0,0.0,1.0,27,17,-0.4038951134633411
10,Mahindra,Individual,2018,7.0,10,Mahindra Marazzo M6,1,0.6688380085687149,50000,Diesel,1,First Owner,17.3,1497.0,121.0,-0.6837320005822449,3,18820.0,46,1.0,0.0,1.0,0.0,0.0,19,27,-0.049666327583259055
11,Maruti,Individual,2002,2.0,11,Maruti Esteem Lxi,2,-0.6667583856274274,90000,Petrol,1,others,21.561637837837836,1197.0,70.64806695464362,0.4361132761225681,3,35091.0,15,0.0,1.0,0.0,0.0,1.0,20,1,-0.35797528539639534
12,Ford,Individual,2014,5.0,12,Ford Ecosport 1.5 Diesel Trend,1,-0.09263323880103137,48000,Diesel,1,First Owner,21.7,1498.0,98.96,0.5941346348235325,3,3659.0,15,1.0,0.0,1.0,0.0,0.0,9,14,-0.1804388998962062
13,Nissan,Dealer,2019,5.0,13,Nissan Kicks XL BSIV,2,0.25788527189297883,14317,Petrol,1,First Owner,14.23,1498.0,104.55,-2.185911204483024,3,213.0,4,0.0,1.0,1.0,0.0,0.0,23,4,-0.16427051378632157
14,Tata,Individual,2018,5.0,14,Tata Tigor 1.05 Revotorq XM,1,-0.1772411551754476,50000,Diesel,1,First Owner,24.7,1047.0,69.0,-0.7626577462878991,3,8081.0,64,1.0,0.0,1.0,0.0,0.0,27,56,-0.4038951134633411
15,Toyota,Dealer,2019,5.0,15,Toyota Glanza V CVT,2,0.3001880213956673,9654,Petrol,0,First Owner,19.56,1197.0,81.8,-3.1879595202933046,3,5059.0,4,0.0,1.0,1.0,0.0,0.0,28,4,0.7757515810472455
16,Maruti,Individual,2014,5.0,16,Maruti Alto 800 LXI,66,-0.5519333562621481,70000,Petrol,1,others,22.74,796.0,47.3,0.8472714731019076,4,35091.0,134,0.0,1.0,0.0,0.0,1.0,20,114,-0.35797528539639534
17,Mahindra,Individual,2012,7.0,17,Mahindra XUV500 W8 2WD,19,-0.1349371969882395,120000,Diesel,1,First Owner,15.1,2179.0,140.0,1.5998610600971064,1,18820.0,58,1.0,0.0,1.0,0.0,0.0,19,29,-0.049666327583259055
18,Toyota,Individual,2010,7.0,18,Toyota Innova 2.5 V Diesel 7-seater,9,-0.26789249414803645,200000,Diesel,1,Second Owner,12.8,2494.0,102.0,1.504738422765225,1,5059.0,17,1.0,0.0,0.0,1.0,0.0,28,10,0.2993815531042407
19,Hyundai,Individual,2013,5.0,19,Hyundai EON Era Plus,42,-0.5519333562621481,70000,Petrol,1,First Owner,21.1,814.0,55.2,0.23999891579500848,4,15548.0,88,0.0,1.0,1.0,0.0,0.0,11,88,-0.26450256908028097
20,Maruti,Individual,2014,5.0,20,Maruti Swift VDI,49,-0.23163195855900093,40000,Diesel,1,First Owner,28.4,1248.0,74.0,0.044502470454782686,3,35091.0,134,1.0,0.0,1.0,0.0,0.0,20,114,-0.35797528539639534
21,Maruti,Individual,2013,7.0,21,Maruti Ertiga VDI,38,-0.057581387731630344,60000,Diesel,1,Second Owner,20.77,1248.0,88.76,0.6449332817712707,3,35091.0,152,1.0,0.0,0.0,1.0,0.0,20,27,-0.35797528539639534
22,Mahindra,Individual,2016,7.0,22,Mahindra TUV 300 T8,18,0.1491036651258722,50000,Diesel,1,First Owner,18.49,1493.0,100.0,0.48571453287014466,3,18820.0,71,1.0,0.0,1.0,0.0,0.0,19,46,-0.049666327583259055
23,Toyota,Trustmark Dealer,2016,5.0,23,Toyota Camry 2.5 Hybrid,29,1.6357856242763291,68089,Petrol,0,First Owner,19.16,2494.0,157.7,0.2930088711441157,1,5059.0,54,0.0,1.0,1.0,0.0,0.0,28,32,0.6960713155977802
24,Toyota,Individual,2013,7.0,24,Toyota Innova 2.5 VX (Diesel) 7 Seater,33,0.3183194978747047,110000,Diesel,1,Second Owner,12.99,2494.0,100.0,0.8570798610821967,1,5059.0,49,1.0,0.0,0.0,1.0,0.0,28,32,0.2993815531042407
25,Hyundai,Individual,2004,1.0,25,Hyundai Santro Xing XG AT eRLX Euro III,1,-0.6848886534219452,80000,Petrol,0,others,19.921239592969474,1197.0,87.51074005550417,1.000454273734156,3,15548.0,11,0.0,1.0,0.0,0.0,1.0,11,1,-0.26450256908028097
